timestamp,open,high,low,close,volume
2018-01-02,269.65,274.15,267.51,271.98,8349851
2018-01-03,272.1,277.44,270.96,276.29,14165345
2018-01-04,276.16,279.23,274.68,277.75,6666205
2018-01-05,278.18,282.56,277.05,281.41,8448859
2018-01-08,282.19,283.89,277.66,279.33,8887894
2018-01-09,279.65,281.12,273.71,275.16,11935402
2018-01-10,275.43,278.46,273.78,276.8,8760762
2018-01-11,277.3,283.18,275.29,281.14,6370397
2018-01-12,280.84,282.7,279.48,281.34,6875482
2018-01-15,281.96,283.41,279.71,281.15,8096438
2018-01-16,280.46,282.63,277.47,279.63,6822249
2018-01-17,279.59,281.88,277.71,280.0,8657281
2018-01-18,279.66,283.35,278.32,282.0,7277831
2018-01-19,281.56,286.37,280.6,285.41,7053187
2018-01-22,285.43,289.16,283.3,287.01,6542603
2018-01-23,286.9,287.97,283.81,284.88,6536276
2018-01-24,284.92,289.45,283.47,287.99,8458423
2018-01-25,287.57,290.53,281.52,284.45,7451163
2018-01-26,284.45,287.7,283.62,286.86,6540665
2018-01-29,286.52,288.46,284.68,286.62,6911713
2018-01-30,286.42,287.71,283.55,284.83,9897552
2018-01-31,285.07,286.73,282.56,284.22,7481314
2018-02-01,284.13,288.97,282.11,286.93,9033801
2018-02-02,285.65,287.25,282.42,284.02,6588160
2018-02-05,283.53,285.6,277.71,279.76,7288461
2018-02-06,280.26,282.6,278.69,281.03,8114653
2018-02-07,281.13,282.85,279.65,281.38,6381666
2018-02-08,281.3,282.86,279.83,281.39,6973024
2018-02-09,281.72,283.18,279.42,280.88,6353485
2018-02-12,281.08,282.38,278.0,279.29,7284281
2018-02-13,278.97,285.66,277.17,283.82,10733149
2018-02-14,284.46,288.35,282.46,286.34,8937281
2018-02-15,286.5,287.69,285.44,286.62,7106299
2018-02-16,285.95,287.22,284.37,285.64,6589559
2018-02-19,285.22,289.88,283.35,287.99,6745870
2018-02-20,288.55,296.43,287.5,295.35,15900438
2018-02-21,294.82,296.14,292.63,293.95,6281554
2018-02-22,293.44,295.48,289.73,291.76,7975282
2018-02-23,290.66,292.93,289.3,291.56,6397788
2018-02-26,291.99,295.17,289.49,292.66,6624026
2018-02-27,293.45,296.6,291.24,294.38,6892428
2018-02-28,293.28,296.28,292.24,295.22,6259590
2018-03-01,294.32,299.98,292.49,298.13,6323569
2018-03-02,298.43,303.53,296.75,301.82,6483925
2018-03-05,302.66,304.42,298.81,300.55,6575950
2018-03-06,300.64,305.91,299.17,304.42,7600830
2018-03-07,304.7,308.51,302.84,306.63,9144916
2018-03-08,306.46,308.99,304.08,306.6,6464001
2018-03-09,305.45,311.4,303.55,309.48,8697040
2018-03-12,309.17,311.12,305.55,307.49,6899757
2018-03-13,306.91,308.3,299.35,300.71,12644386
2018-03-14,300.39,305.03,298.21,302.83,9584757
2018-03-15,302.43,308.09,301.63,307.28,10837098
2018-03-16,306.43,313.25,304.2,310.99,7374476
2018-03-19,311.09,312.42,306.93,308.25,7939803
2018-03-20,307.25,310.52,305.12,308.39,8757960
2018-03-21,308.63,312.95,306.67,310.98,6262572
2018-03-22,311.38,313.67,309.5,311.79,8300137
2018-03-23,311.97,315.03,309.68,312.73,6758759
2018-03-26,312.83,314.64,311.12,312.93,7286130
2018-03-27,312.49,318.92,309.91,316.31,7072760
2018-03-28,316.57,321.66,313.65,318.72,8174804
2018-03-29,318.31,325.76,316.5,323.92,12799252
2018-03-30,324.31,325.71,322.27,323.67,9670143
2018-04-02,322.32,323.11,319.91,320.69,6903732
2018-04-03,321.0,322.78,317.87,319.65,6934844
2018-04-04,320.15,325.3,319.8,324.95,6500338
2018-04-05,325.05,327.99,320.16,323.08,8620092
2018-04-06,322.43,324.19,318.88,320.63,6791585
2018-04-09,320.38,327.47,318.72,325.78,12057531
2018-04-10,325.74,330.34,323.96,328.54,7106013
2018-04-11,329.41,331.27,324.96,326.81,7517415
2018-04-12,325.44,328.72,324.14,327.41,6620110
2018-04-13,327.37,330.24,321.9,324.75,8120081
2018-04-16,323.36,328.02,322.07,326.72,8334586
2018-04-17,327.19,331.1,326.34,330.24,8007580
2018-04-18,329.54,330.71,324.06,325.21,6265177
2018-04-19,325.3,326.11,320.44,321.24,7983913
